fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
9,0.24,0.5,1.2,0.048,26,107,0.9918,3.21,0.34,12.4,6
5.7,0.135,0.3,4.6,0.042,19,101,0.9946,3.31,0.42,9.3,6
7.8,0.43,0.49,13,0.033,37,158,0.9955,3.14,0.35,11.3,6
7.2,0.08,0.49,1.3,0.05,18,148,0.9945,3.46,0.44,10.2,6
6.7,0.51,0.24,2.1,0.043,14,155,0.9904,3.22,0.6,13,6
8.2,0.22,0.49,9.6,0.037,53,154,0.9951,3.02,0.33,10.6,6
14.2,0.27,0.49,1.1,0.037,33,156,0.992,3.15,0.54,11.1,6
7.9,0.28,0.49,7.7,0.045,48,195,0.9954,3.04,0.55,11,6
8.1,0.28,0.49,1,0.04,32,148,0.9936,3.13,0.41,10,6
7.3,0.26,0.49,5,0.028,32,107,0.9936,3.24,0.54,10.8,6
7.1,0.18,0.74,15.6,0.044,44,176,0.9996,3.38,0.67,9,6
7.9,0.18,0.49,5.2,0.051,36,157,0.9953,3.18,0.48,10.6,6
7.4,0.3,0.49,8.2,0.055,49,188,0.9974,3.52,0.58,9.7,6
9,0.3,0.49,7.2,0.039,32,84,0.9938,2.94,0.32,11.5,6
6.7,0.33,0.49,1.6,0.167,20,94,0.9914,3.11,0.5,11.4,6
7.8,0.15,0.24,7.7,0.047,21,98,0.9951,2.94,0.31,9.6,6
7.5,0.14,0.74,1.6,0.035,21,126,0.9933,3.26,0.45,10.2,6
7.8,0.4,0.49,7.8,0.06,34,162,0.9966,3.26,0.58,11.3,6
7.9,0.33,0.28,31.6,0.053,35,176,1.0103,3.15,0.38,8.8,6
6.3,0.31,0.3,10,0.046,49,212,0.9962,3.74,0.55,11.9,6
6.9,0.16,0.3,9.6,0.057,50,185,0.9978,3.39,0.38,9.6,6
7.8,0.22,0.36,1.4,0.056,21,153,0.993,3.2,0.53,10.4,6
7,0.19,0.23,5.7,0.123,27,104,0.9954,3.04,0.54,9.4,6
8,0.22,0.28,14,0.053,83,197,0.9981,3.14,0.45,9.8,6
7.3,0.18,0.31,17.3,0.055,32,197,1.0002,3.13,0.46,9,6
8.4,0.2,0.38,11.8,0.055,51,170,1.0004,3.34,0.82,8.9,6
6.9,0.23,0.33,12.8,0.056,44,169,0.998,3.42,0.42,9.8,6
8.1,0.28,0.34,1.3,0.035,11,126,0.99232,3.14,0.5,9.8,6
6.3,0.4,0.32,10.6,0.049,38,209,0.9981,3.47,0.59,9.3,6
6.5,0.21,0.28,1.4,0.046,26,66,0.99199,3.43,0.48,11.1,6
7.1,0.34,0.32,2,0.051,29,130,0.99354,3.3,0.5,10.4,6
8,0.27,0.25,19.1,0.045,50,208,1.00051,3.05,0.5,9.2,6
8,0.26,0.28,4.8,0.05,34,150,0.99437,3.13,0.5,10,6
6.3,0.27,0.37,7.9,0.047,58,215,0.99542,3.19,0.48,9.5,6
6.6,0.26,0.25,11.6,0.045,45,178,0.99691,3.33,0.43,9.8,6
6.5,0.23,0.25,17.3,0.046,15,110,0.99828,3.15,0.42,9.2,6
6.9,0.32,0.27,16,0.034,58,185,0.99938,3.34,0.6,9,6
6.6,0.35,0.35,6,0.063,31,150,0.99537,3.1,0.47,9.4,6
7.5,0.13,0.38,1.1,0.023,42,104,0.99112,3.28,0.53,11.8,6
6.2,0.25,0.31,3.2,0.03,32,150,0.99014,3.18,0.31,12,6
7.2,0.19,0.27,11.2,0.061,46,149,0.99772,2.99,0.59,9.3,6
6.6,0.21,0.29,1.8,0.026,35,128,0.99183,3.37,0.48,11.2,6
5.2,0.28,0.29,1.1,0.028,18,69,0.99168,3.24,0.54,10,6
7.7,0.3,0.34,1.2,0.048,4,119,0.99084,3.18,0.34,12.1,6
8,0.3,0.36,11,0.034,8,70,0.99354,3.05,0.41,12.2,6
6.6,0.21,0.36,0.8,0.034,48,113,0.99165,3.24,0.68,10.5,6
5.7,0.21,0.25,1.1,0.035,26,81,0.9902,3.31,0.52,11.4,6
6.2,0.2,0.31,1,0.031,22,73,0.99035,3.24,0.52,11.3,6
6.2,0.18,0.3,1,0.031,23,73,0.99032,3.23,0.52,11.3,6
5.7,0.28,0.28,2.2,0.019,15,65,0.9902,3.06,0.52,11.2,6
6.6,0.22,0.29,14.4,0.046,39,118,0.99834,3.05,0.5,9.1,6
5.1,0.29,0.28,8.3,0.026,27,107,0.99308,3.36,0.37,11,6
6,0.28,0.52,5,0.078,30,139,0.99494,3.1,0.36,9,6
6.6,0.23,0.3,14.9,0.051,33,118,0.99835,3.04,0.54,9,6
6.6,0.23,0.2,11.4,0.044,45,131,0.99604,2.96,0.51,9.7,6
6.9,0.3,0.3,10.55,0.037,4,28,0.99184,3.07,0.32,12.7,6
5.8,0.15,0.31,5.9,0.036,7,73,0.99152,3.2,0.43,11.9,6
8.5,0.19,0.48,1.1,0.026,23,58,0.99184,2.9,0.5,10.5,6
6.6,0.17,0.35,2.6,0.03,33,78,0.99146,3.22,0.72,11.3,6
7.6,0.27,0.52,3.2,0.043,28,152,0.99129,3.02,0.53,11.4,6
6.5,0.29,0.26,7,0.04,18,113,0.99366,3.17,0.38,10.2,6
6.9,0.22,0.43,6.4,0.042,34,115,0.99293,3.05,0.51,10.8,6
7.8,0.3,0.36,4.6,0.024,20,198,0.99222,3.06,0.66,11.9,6
6.5,0.24,0.38,1,0.027,31,90,0.98926,3.24,0.36,12.3,6
8.3,0.16,0.37,7.9,0.025,38,107,0.99306,2.93,0.37,11.9,6
7,0.21,0.42,5.3,0.037,36,123,0.99321,3.14,0.52,10.9,6
7.4,0.19,0.31,14.5,0.045,39,193,0.9986,3.1,0.5,9.2,6
5.6,0.32,0.32,8.3,0.043,32,105,0.99266,3.24,0.47,11.2,6
6.7,0.23,0.33,8.1,0.048,45,176,0.99472,3.11,0.52,10.1,6
8.2,0.34,0.29,5.2,0.076,19,92,0.99138,2.95,0.39,12.5,6
6.9,0.28,0.33,1.2,0.039,16,98,0.9904,3.07,0.39,11.7,6
7.8,0.2,0.2,1.4,0.036,25,83,0.99088,3.03,0.46,11.7,6
6.7,0.24,0.36,8.4,0.042,42,123,0.99473,3.34,0.52,10.9,6
7.7,0.43,1,19.95,0.032,42,164,0.99742,3.29,0.5,12,6
7.3,0.2,0.29,19.9,0.039,69,237,1.00037,3.1,0.48,9.2,6
5.7,0.22,0.22,16.65,0.044,39,110,0.99855,3.24,0.48,9,6
7.8,0.31,0.4,1.6,0.027,20,87,0.9911,3.15,0.48,11.9,6
6.3,0.32,0.32,1.5,0.037,12,76,0.98993,3.3,0.46,12.3,6
7.7,0.24,0.3,1.4,0.041,15,102,0.9929,3.26,0.53,10.4,6
7.4,0.36,0.23,1.9,0.017,31,69,0.9892,2.93,0.36,12.5,6
6.4,0.38,0.2,5.3,0.117,57,181,0.99459,3.24,0.43,9.5,6
6,0.25,0.4,5.7,0.052,56,152,0.99398,3.16,0.88,10.5,6
7,0.29,0.37,1.6,0.035,34,126,0.99058,3.26,0.47,12.3,6
6.8,0.18,0.32,7.2,0.047,17,109,0.99498,3.42,0.44,10.4,6
6.5,0.35,0.38,7.4,0.036,20,196,0.99712,3.47,0.48,9.1,6
6.6,0.26,0.28,9.4,0.028,13,121,0.99254,3.17,0.34,12.1,6
6.7,0.46,0.21,4,0.034,12,88,0.99016,3.26,0.54,13,6
6.7,0.24,0.32,9,0.023,20,109,0.99262,3.34,0.35,12.6,6
6.2,0.22,0.3,12.4,0.054,108,152,0.99728,3.1,0.47,9.5,6
6.8,0.33,0.31,7.4,0.045,34,143,0.99226,3.06,0.55,12.2,6
6.7,0.26,0.29,7.7,0.038,40,179,0.99479,3.23,0.56,10.4,6
7.1,0.37,0.3,6.2,0.04,49,139,0.99021,3.17,0.27,13.6,6
7.3,0.27,0.3,1.3,0.04,26,84,0.99222,3.28,0.53,10.7,6
6.4,0.17,0.3,2.8,0.034,33,125,0.99152,3.03,0.49,10.4,6
5.6,0.23,0.25,8,0.043,31,101,0.99429,3.19,0.42,10.4,6
6.3,0.23,0.22,17.45,0.054,42,151,0.99853,3.12,0.6,9.3,6
6.7,0.2,0.24,6.5,0.044,28,100,0.99348,3.12,0.33,10.2,6
5.8,0.22,0.29,1.3,0.036,25,68,0.98865,3.24,0.35,12.6,6
6.9,0.26,0.38,10.5,0.044,33,139,0.99517,3.06,0.5,10.3,6
6,0.17,0.21,6,0.05,26,134,0.9939,3.08,0.54,9.8,6
3.8,0.31,0.02,11.1,0.036,20,114,0.99248,3.75,0.44,12.4,6
6.6,0.26,0.27,11.8,0.048,28,112,0.99606,2.87,0.49,9.7,6
7,0.2,0.35,8.8,0.037,31,103,0.99388,3.13,0.49,11,6
5.9,0.25,0.24,7.4,0.044,21,113,0.99462,3.38,0.58,10.5,6
6.3,0.28,0.22,11.5,0.036,27,150,0.99445,3,0.33,10.6,6
6.7,0.26,0.29,7.1,0.036,28,100,0.99534,3.08,0.36,9.3,6
6.1,0.31,0.34,2.8,0.042,59.5,162,0.99179,3.27,0.47,10.8,6
6.4,0.13,0.28,0.9,0.045,32,87,0.99175,3.47,0.52,11.2,6
6.1,0.28,0.23,4.2,0.038,13,95,0.98898,2.97,0.7,13.1,6
6.8,0.17,0.17,5.1,0.049,26,82,0.993,3,0.38,9.8,6
5.8,0.12,0.21,1.3,0.056,35,121,0.9908,3.32,0.33,11.4,6
7.1,0.09,0.3,6.2,0.032,24,134,0.993,2.99,0.39,10.9,6
6,0.27,0.26,1.3,0.038,32,138,0.99125,3.46,0.43,11.1,6
6.8,0.29,0.22,3.4,0.035,40,122,0.99024,3.09,0.47,12.3,6
6.7,0.16,0.32,12.5,0.035,18,156,0.99666,2.88,0.36,9,6
6.1,0.15,0.4,1.2,0.03,19,84,0.98926,3.19,0.96,13,6
5.9,0.21,0.31,1.8,0.033,45,142,0.98984,3.35,0.5,12.7,6
5.5,0.16,0.31,1.2,0.026,31,68,0.9898,3.33,0.44,11.65,6
6.4,0.19,0.35,10.2,0.043,40,106,0.99632,3.16,0.5,9.7,6
5.9,0.26,0.29,5.4,0.046,34,116,0.99224,3.24,0.41,11.4,6
6,0.34,0.29,6.1,0.046,29,134,0.99462,3.48,0.57,10.7,6
5.6,0.2,0.36,2.5,0.048,16,125,0.99282,3.49,0.49,10,6
5,0.235,0.27,11.75,0.03,34,118,0.9954,3.07,0.5,9.4,6
5.7,0.21,0.32,0.9,0.038,38,121,0.99074,3.24,0.46,10.6,6
7.3,0.28,0.43,1.7,0.08,21,123,0.9905,3.19,0.42,12.8,5
7.5,0.305,0.4,18.9,0.059,44,170,1,2.99,0.46,9,5
7.4,0.25,0.37,13.5,0.06,52,192,0.9975,3,0.44,9.1,5
7.2,0.27,0.46,18.75,0.052,45,255,1,3.04,0.52,8.9,5
5.2,0.6,0.07,7,0.044,33,147,0.9944,3.33,0.58,9.7,5
7.1,0.39,0.35,12.5,0.044,26,72,0.9941,3.17,0.29,11.6,5
7.8,0.21,0.27,1.2,0.051,20,89,0.9936,3.06,0.46,9.1,5
5.9,0.21,0.24,12.1,0.044,53,165,0.9969,3.25,0.39,9.5,5
6.8,0.51,0.3,4.2,0.066,38,165,0.9945,3.2,0.42,9.1,5
6,0.26,0.5,2.2,0.048,59,153,0.9928,3.08,0.61,9.8,5
6.4,0.475,0.06,1,0.03,9,131,0.9904,2.97,0.29,10.8,5
7.3,0.25,0.29,7.5,0.049,38,158,0.9965,3.43,0.38,9.6,5
6.1,0.28,0.25,17.75,0.044,48,161,0.9993,3.34,0.48,9.5,5
7.5,0.23,0.68,11,0.047,37,133,0.9978,2.99,0.38,8.8,5
7,0.23,0.42,18.05,0.05,35,144,0.9999,3.22,0.42,8.8,5
6,0.29,0.2,12.6,0.045,45,187,0.9972,3.33,0.42,9.5,5
6.6,0.27,0.25,3.1,0.052,41,188,0.9915,3.24,0.4,11.3,5
6.4,0.27,0.32,4.5,0.24,61,174,0.9948,3.12,0.48,9.4,5
6.1,0.25,0.24,12.1,0.046,51,172,0.998,3.35,0.45,9.5,5
6.6,0.29,0.44,9,0.053,62,178,0.99685,3.02,0.45,8.9,5
6.4,0.39,0.21,1.2,0.041,35,136,0.99225,3.15,0.46,10.2,5
5.9,0.26,0.25,12.5,0.034,38,152,0.9977,3.33,0.43,9.4,5
6.6,0.3,0.3,4.8,0.17,60,166,0.9946,3.18,0.47,9.4,5
4.8,0.33,0,6.5,0.028,34,163,0.9937,3.35,0.61,9.9,5
7.5,0.24,0.31,13,0.049,46,217,0.9985,3.08,0.53,8.8,5
6.2,0.33,0.19,5.6,0.042,22,143,0.99425,3.15,0.63,9.9,5
5.6,0.29,0.05,0.8,0.038,11,30,0.9924,3.36,0.35,9.2,5
8.2,0.345,1,18.2,0.047,55,205,0.99965,2.96,0.43,9.6,5
7.6,0.3,0.25,4.3,0.054,22,111,0.9956,3.12,0.49,9.2,5
6,0.2,0.71,1.6,0.15,10,54,0.9927,3.12,0.47,9.8,5
7.1,0.47,0.24,6,0.044,11,77,0.9956,3.21,0.56,9.7,5
7.5,0.33,0.48,19.45,0.048,55,243,1.001,2.95,0.4,8.8,5
7.2,0.51,0.24,10,0.093,35,197,0.9981,3.41,0.47,9,5
7.3,0.31,0.69,10.2,0.041,58,160,0.9977,3.06,0.45,8.6,5
7.2,0.24,0.3,1.6,0.048,27,131,0.9933,3.25,0.45,10.5,5
7.5,0.32,0.37,1.2,0.048,22,184,0.9938,3.09,0.43,9.3,5
6.4,0.3,0.38,7.8,0.046,35,192,0.9955,3.1,0.37,9,5
7,0.39,0.31,5.3,0.169,32,162,0.9965,3.2,0.48,9.4,5
8,0.59,0.71,17.35,0.038,61,228,1,2.95,0.75,9.3,5
7,0.15,0.34,1.4,0.039,21,177,0.9927,3.32,0.62,10.8,5
8.4,0.19,0.43,2.1,0.052,20,104,0.994,2.85,0.46,9.5,5
6.7,0.18,0.3,6.4,0.048,40,251,0.9956,3.29,0.52,10,5
6.2,0.33,0.29,1.3,0.042,26,138,0.9956,3.77,0.64,9.5,5
9,0.31,0.48,6.6,0.043,11,73,0.9938,2.9,0.38,11.6,5
6.1,0.22,0.49,1.5,0.051,18,87,0.9928,3.3,0.46,9.6,5
7.4,0.25,0.49,1.1,0.042,35,156,0.9917,3.13,0.55,11.3,5
8.3,0.2,0.49,1.7,0.04,34,169,0.9938,3.05,0.37,10.1,5
9.1,0.28,0.49,2,0.059,10,112,0.9958,3.15,0.46,10.1,5
6.4,0.18,0.74,11.9,0.046,54,168,0.9978,3.58,0.68,10.1,5
8.9,0.32,0.49,1.6,0.05,17,131,0.9956,3.13,0.34,9.4,5
7.8,0.49,0.49,7,0.043,29,149,0.9952,3.21,0.33,10,5
7.8,0.445,0.56,1,0.04,8,84,0.9938,3.25,0.43,10.8,5
7.5,0.22,0.29,4.8,0.05,33,87,0.994,3.14,0.42,9.9,5
7.1,0.32,0.4,1.5,0.034,13,84,0.9944,3.42,0.6,10.4,5
6.5,0.32,0.12,11.5,0.033,35,165,0.9974,3.22,0.32,9,5
8.3,0.27,0.39,2.4,0.058,16,107,0.9955,3.28,0.59,10.3,5
8.9,0.33,0.34,1.4,0.056,14,171,0.9946,3.13,0.47,9.7,5
6.4,0.22,0.32,7.9,0.029,34,124,0.9948,3.4,0.39,10.2,5
6.8,0.24,0.31,18.3,0.046,40,142,1,3.3,0.41,8.7,5
6.8,0.24,0.31,18.3,0.046,40,142,1,3.3,0.41,8.7,5
6.8,0.35,0.44,6.5,0.056,31,161,0.9952,3.14,0.44,9.5,5
7.2,0.16,0.35,1.2,0.031,27,84,0.9928,3.33,0.34,9.9,5
8,0.25,0.13,17.2,0.036,49,219,0.9996,2.96,0.46,9.7,5
7.6,0.2,0.26,4.5,0.086,37,133,0.9963,3.15,0.42,9.2,5
7.5,0.26,0.26,18.35,0.084,33,139,1.0011,3.17,0.39,8.8,5
7,0.12,0.28,6.3,0.057,17,103,0.9957,3.5,0.44,9.6,5
6.8,0.18,0.46,1.4,0.064,37,160,0.9924,3.37,0.45,11.1,5
5.5,0.14,0.27,4.6,0.029,22,104,0.9949,3.34,0.44,9,5
5.7,0.46,0.46,1.4,0.04,31,169,0.9932,3.13,0.47,8.8,5
7.7,0.28,0.29,4.3,0.051,25,142,0.9939,3.16,0.39,10.2,5
7.6,0.18,0.36,2.4,0.049,38,123,0.996,3.6,0.46,10.3,5
7.2,0.25,0.19,8,0.044,51,172,0.9964,3.16,0.44,9.2,5
8.4,0.28,0.4,8.9,0.048,33,146,0.9988,3.4,0.46,9.3,5
6.2,0.34,0.3,11.1,0.047,28,237,0.9981,3.18,0.49,8.7,5
6.8,0.32,0.34,6,0.05,5,129,0.9953,3.19,0.4,9.1,5
8.5,0.24,0.47,15.2,0.057,40,234,1.0005,3.02,0.66,9,5
6.4,0.29,0.2,15.6,0.04,20,142,0.9962,3.1,0.54,10.6,5
6.9,0.32,0.13,7.8,0.042,11,117,0.996,3.23,0.37,9.2,5
6.4,0.24,0.23,7.3,0.069,31,157,0.9962,3.25,0.53,9.1,5
7.6,0.27,0.33,2,0.059,19,175,0.9944,3.22,0.56,9.9,5
7.1,0.26,0.3,2,0.031,13,128,0.9917,3.19,0.49,11.4,5
7,0.36,0.14,11.6,0.043,35,228,0.9977,3.13,0.51,8.9,5
7.6,0.3,0.4,2.2,0.054,29,175,0.99445,3.19,0.53,9.8,5
6.2,0.45,0.73,7.2,0.099,47,202,0.99582,3.21,0.43,9.2,5
7,0.27,0.29,3.9,0.059,28,199,0.9961,3.54,0.59,10.3,5
6.4,0.27,0.17,8.4,0.044,60,198,0.99578,3.21,0.47,9.4,5
6.6,0.32,0.33,2.5,0.052,40,219.5,0.99316,3.15,0.6,10,5
6.8,0.34,0.1,1.4,0.049,29,118,0.9936,3.21,0.41,9.5,5
6.8,0.21,0.36,18.1,0.046,32,133,1,3.27,0.48,8.8,5
6.6,0.42,0.13,12.8,0.044,26,158,0.99772,3.24,0.47,9,5
6.2,0.33,0.14,4.8,0.052,27,128,0.99475,3.21,0.48,9.4,5
7.3,0.37,0.16,14.9,0.048,59,240,0.99902,3.13,0.45,8.9,5
6.6,0.24,0.28,1.8,0.028,39,132,0.99182,3.34,0.46,11.4,5
6.3,0.34,0.36,4.9,0.035,31,185,0.9946,3.15,0.49,9.7,5
8.2,0.52,0.34,1.2,0.042,18,167,0.99366,3.24,0.39,10.6,5
7.8,0.28,0.31,2.1,0.046,28,208,0.99434,3.23,0.64,9.8,5
6.5,0.28,0.28,20.4,0.041,40,144,1.0002,3.14,0.38,8.7,5
5.8,0.15,0.28,0.8,0.037,43,127,0.99198,3.24,0.51,9.3,5
6.8,0.19,0.23,5.1,0.034,71,204,0.9942,3.23,0.69,10.1,5
7.8,0.25,0.34,13.7,0.044,66,184,0.99976,3.22,0.75,8.9,5
6.9,0.23,0.32,16.4,0.045,62,153,0.9972,3.22,0.42,10.5,5
6.4,0.24,0.25,20.2,0.083,35,157,0.99976,3.17,0.5,9.1,5
6.6,0.25,0.51,8,0.047,61,189,0.99604,3.22,0.49,9.2,5
7.2,0.17,0.41,1.6,0.052,24,126,0.99228,3.19,0.49,10.8,5
6.6,0.31,0.07,1.5,0.033,55,144,0.99208,3.16,0.42,10,5
7.9,0.2,0.39,1,0.041,37,154,0.99093,3.08,0.43,11.9,5
7.9,0.25,0.35,6.7,0.039,22,64,0.99362,2.93,0.49,10.7,5
7,0.24,0.3,6.7,0.039,37,125,0.99436,3.2,0.39,9.9,5
6.6,0.26,0.46,6.9,0.047,59,183,0.99594,3.2,0.45,9.3,5
6.2,0.36,0.14,8.9,0.036,38,155,0.99622,3.27,0.5,9.4,5
5.3,0.21,0.29,0.7,0.028,11,66,0.99215,3.3,0.4,9.8,5
8.4,0.31,0.31,0.95,0.021,52,148,0.99038,2.93,0.32,11.5,5
6.3,0.2,0.37,11.8,0.045,58,130,0.99519,3.2,0.35,10.8,5
7.4,0.21,0.8,12.3,0.038,77,183,0.99778,2.95,0.48,9,5
7.1,0.28,0.35,3.5,0.028,35,91,0.99022,2.96,0.33,12.1,5
6.8,0.25,0.24,1.6,0.045,39,164,0.99402,3.53,0.58,10.8,5
7.2,0.13,0.46,1.3,0.044,48,111,0.99127,2.97,0.45,11.1,5
7.6,0.28,0.49,20.15,0.06,30,145,1.00196,3.01,0.44,8.5,5
7.1,0.25,0.28,1.2,0.04,31,111,0.99174,3.18,0.53,11.1,5
6.7,0.35,0.48,8.8,0.056,35,167,0.99628,3.04,0.47,9.4,5
7.3,0.31,0.25,6.65,0.032,30,138,0.99244,2.9,0.37,11.1,5
6.5,0.27,0.26,11,0.03,2,82,0.99402,3.07,0.36,11.2,5
7.2,0.23,0.25,18.8,0.085,19,111,1.00044,3.1,0.51,8.7,5
7.2,0.23,0.25,18.8,0.085,19,111,1.00044,3.1,0.51,8.7,5
7.5,0.28,0.41,1.3,0.044,11,126,0.99293,3.28,0.45,10.3,5
7.1,0.21,0.72,1.6,0.167,65,120,0.99324,2.97,0.51,9.2,5
7.9,0.21,0.39,2,0.057,21,138,0.99176,3.05,0.52,10.9,5
5.1,0.23,0.18,1,0.053,13,99,0.98956,3.22,0.39,11.5,5
6.8,0.31,0.19,3.5,0.086,30,130,0.993,2.83,0.44,9.6,5
6.4,0.32,0.23,16.2,0.055,36,176,0.9986,3.26,0.54,9.1,5
7.1,0.2,0.37,1.5,0.049,28,129,0.99226,3.15,0.52,10.8,5
6.2,0.28,0.51,7.9,0.056,49,206,0.9956,3.18,0.52,9.4,5
7,0.46,0.2,16.7,0.046,50,184,0.99898,3.08,0.56,9.4,5
6.9,0.4,0.37,8.9,0.053,36,148,0.996,3.16,0.5,9.3,5
6.1,0.22,0.25,12.1,0.035,54,135,0.99481,3.21,0.4,10.7,5
6.4,0.26,0.26,1.1,0.052,22,176,0.99304,3.09,0.54,9.3,5
6.1,0.17,0.21,1.9,0.09,44,130,0.99255,3.07,0.41,9.7,5
6.9,0.37,0.23,9.5,0.057,54,166,0.99568,3.23,0.42,10,5
7.6,0.4,0.27,1.2,0.053,23,193,0.99164,3.22,0.38,11.6,5
6.4,0.21,0.21,5.1,0.097,21,105,0.9939,3.07,0.46,9.6,5
7.9,0.36,0.53,12.9,0.049,63,139,0.99792,2.94,0.45,9.1,5
7,0.44,0.24,12.1,0.056,68,210,0.99718,3.05,0.5,9.5,5
6.4,0.29,0.18,15,0.04,21,116,0.99736,3.14,0.5,9.2,5
6,0.33,0.26,5.1,0.051,16,119,0.99416,3.15,0.41,9.2,5
7.1,0.46,0.23,13.7,0.045,44,192,0.9981,3.11,0.53,9.4,5
7.6,0.28,0.17,1.6,0.046,28,117,0.99288,3.08,0.43,10,5
5.7,0.26,0.24,17.8,0.059,23,124,0.99773,3.3,0.5,10.1,5
6.4,0.29,0.3,6.5,0.209,62,156,0.99478,3.1,0.4,9.4,5
6.4,0.24,0.26,8.2,0.054,47,182,0.99538,3.12,0.5,9.5,5
6.1,0.34,0.21,5,0.042,17,133,0.99373,3.02,0.53,9.4,5
6.4,0.26,0.21,8.2,0.05,51,182,0.99542,3.23,0.48,9.5,5
6.4,0.26,0.21,8.2,0.05,51,182,0.99542,3.23,0.48,9.5,5
6.2,0.25,0.44,15.8,0.057,39,167,0.99804,3.14,0.51,9.2,5
6.6,0.24,0.22,12.3,0.051,35,146,0.99676,3.1,0.67,9.4,5
5.2,0.22,0.46,6.2,0.066,41,187,0.99362,3.19,0.42,9.73333333333333,5
6.1,0.21,0.19,1.4,0.046,51,131,0.99184,3.22,0.39,10.5,5
6.1,0.25,0.18,10.5,0.049,41,124,0.9963,3.14,0.35,10.5,5
8.3,0.18,0.37,1.2,0.049,6,94,0.9937,3.18,0.52,10.1,5
6.9,0.28,0.37,9.1,0.037,16,76,0.9948,3.05,0.54,11.1,5
5.8,0.34,0.21,7.2,0.041,48,146,0.99441,3.16,0.49,9.8,5
6.7,0.61,0.21,1.65,0.117,40,240,0.9938,3.11,0.57,9.3,5
6.4,0.31,0.53,8.8,0.057,36,221,0.99642,3.17,0.44,9.1,5
5.9,0.32,0.26,1.5,0.057,17,141,0.9917,3.24,0.36,10.7,5
6.6,0.16,0.4,1.5,0.044,48,143,0.9912,3.54,0.52,12.4,7
7.4,0.18,0.31,1.4,0.058,38,167,0.9931,3.16,0.53,10,7
