fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
6.7,0.31,0.31,9.9,0.04,10.0,175.0,0.9953,3.46,0.55,11.4,4
7.6,0.56,0.12,10.4,0.096,22.0,177.0,0.9983,3.32,0.45,9.1,4
6.1,0.28,0.25,12.9,0.054,34.0,189.0,0.9979,3.25,0.43,9.0,4
6.5,0.33,0.72,1.1,0.061,7.0,151.0,0.993,3.09,0.57,9.5,4
6.8,0.29,0.16,1.4,0.038,122.5,234.5,0.9922,3.15,0.47,10.0,4
7.0,0.57,0.1,8.3,0.094,23.0,188.0,0.9972,3.4,0.47,9.2,4
6.8,0.67,0.3,13.0,0.29,22.0,193.0,0.9984,3.08,0.67,9.0,4
6.9,0.2,0.34,1.9,0.043,25.0,136.0,0.9935,3.31,0.6,10.1,4
6.6,0.38,0.18,1.2,0.042,20.0,84.0,0.9927,3.22,0.45,10.1,4
6.9,0.39,0.4,4.6,0.022,5.0,19.0,0.9915,3.31,0.37,12.6,4
6.0,0.395,0.0,1.4,0.042,7.0,55.0,0.99135,3.37,0.38,11.2,4
7.4,0.17,0.4,5.5,0.037,34.0,161.0,0.9935,3.05,0.62,11.5,4
10.3,0.17,0.47,1.4,0.037,5.0,33.0,0.9939,2.89,0.28,9.6,4
8.4,0.19,0.42,1.6,0.047,9.0,101.0,0.994,3.06,0.65,11.1,4
8.3,0.27,0.45,1.3,0.048,8.0,72.0,0.9944,3.08,0.61,10.3,4
8.0,0.23,0.37,9.6,0.054,23.0,159.0,0.99795,3.32,0.47,9.8,4
8.0,0.32,0.26,1.2,0.05,11.5,88.0,0.9946,3.24,0.37,9.5,4
6.8,0.705,0.25,3.2,0.048,10.0,57.0,0.996,3.36,0.52,9.5,4
8.2,0.26,0.44,1.3,0.046,7.0,69.0,0.9944,3.14,0.62,10.2,4
7.0,0.24,0.18,1.3,0.046,9.0,62.0,0.994,3.38,0.47,10.1,4
8.0,0.55,0.17,8.2,0.04,13.0,60.0,0.9956,3.09,0.3,9.5,4
6.3,0.6,0.44,11.0,0.05,50.0,245.0,0.9972,3.19,0.57,9.3,4
7.9,0.64,0.46,10.6,0.244,33.0,227.0,0.9983,2.87,0.74,9.1,4
8.2,0.68,0.3,2.1,0.047,17.0,138.0,0.995,3.22,0.71,10.8,4
7.3,0.49,0.32,5.2,0.043,18.0,104.0,0.9952,3.24,0.45,10.7,4
9.4,0.29,0.55,2.2,0.05,17.0,119.0,0.9962,3.12,0.69,10.3,4
5.3,0.3,0.2,1.1,0.077,48.0,166.0,0.9944,3.3,0.54,8.7,4
9.2,0.22,0.4,2.4,0.054,18.0,151.0,0.9952,3.04,0.46,9.3,4
6.5,0.52,0.17,1.4,0.047,5.0,26.0,0.9932,3.26,0.32,10.0,4
6.1,0.6,0.0,1.3,0.042,24.0,79.0,0.9937,3.31,0.38,9.4,4
7.9,0.16,0.3,4.8,0.037,37.0,171.0,0.9967,3.47,0.44,9.0,4
7.6,0.33,0.36,2.1,0.034,26.0,172.0,0.9944,3.42,0.48,10.5,4
8.3,0.33,0.42,1.15,0.033,18.0,96.0,0.9911,3.2,0.32,12.4,4
8.0,0.66,0.72,17.55,0.042,62.0,233.0,0.9999,2.92,0.68,9.4,4
6.9,0.39,0.22,4.3,0.03,10.0,102.0,0.993,3.0,0.87,11.6,4
6.9,0.41,0.22,4.2,0.031,10.0,102.0,0.993,3.0,0.86,11.6,4
9.2,0.35,0.39,0.9,0.042,15.0,61.0,0.9924,2.96,0.28,10.4,4
6.9,0.32,0.16,1.4,0.051,15.0,96.0,0.994,3.22,0.38,9.5,4
6.3,0.39,0.24,6.9,0.069,9.0,117.0,0.9942,3.15,0.35,10.2,4
8.6,0.55,0.35,15.55,0.057,35.5,366.5,1.0001,3.04,0.63,11.0,4
9.2,0.28,0.49,11.8,0.042,29.0,137.0,0.998,3.1,0.34,10.1,4
9.8,0.25,0.74,10.0,0.056,36.0,225.0,0.9977,3.06,0.43,10.0,4
7.0,0.39,0.24,1.0,0.048,8.0,119.0,0.9923,3.0,0.31,10.1,4
6.9,0.25,0.24,3.6,0.057,13.0,85.0,0.9942,2.99,0.48,9.5,4
6.9,0.25,0.24,3.6,0.057,13.0,85.0,0.9942,2.99,0.48,9.5,4
7.5,0.32,0.24,4.6,0.053,8.0,134.0,0.9958,3.14,0.5,9.1,4
7.1,0.53,0.24,0.8,0.029,29.0,86.0,0.993,3.16,0.32,9.1,4
6.2,0.43,0.49,6.4,0.045,12.0,115.0,0.9963,3.27,0.57,9.0,4
8.8,0.35,0.49,1.0,0.036,14.0,56.0,0.992,2.96,0.33,10.5,4
8.5,0.17,0.49,8.8,0.048,23.0,108.0,0.9947,2.88,0.34,10.5,4
7.1,0.64,0.49,1.8,0.05,17.0,128.0,0.9946,3.31,0.58,10.6,4
7.6,0.31,0.49,13.4,0.062,50.0,191.0,0.9989,3.22,0.53,9.0,4
6.9,0.26,0.49,1.6,0.058,39.0,166.0,0.9965,3.65,0.52,9.4,4
8.2,0.29,0.49,1.0,0.044,29.0,118.0,0.9928,3.24,0.36,10.9,4
8.1,0.28,0.46,15.4,0.059,32.0,177.0,1.0004,3.27,0.58,9.0,4
6.7,0.25,0.26,1.55,0.041,118.5,216.0,0.9949,3.55,0.63,9.4,4
9.0,0.43,0.3,1.5,0.05,7.0,175.0,0.9951,3.11,0.45,9.7,4
6.5,0.27,0.19,4.2,0.046,6.0,114.0,0.9955,3.25,0.35,8.6,4
7.0,0.61,0.26,1.7,0.051,25.0,161.0,0.9946,3.36,0.6,10.6,4
9.3,0.2,0.33,1.7,0.05,28.0,178.0,0.9954,3.16,0.43,9.0,4
8.4,0.29,0.29,1.05,0.032,4.0,55.0,0.9908,2.91,0.32,11.4,4
6.1,0.32,0.37,1.8,0.051,13.0,200.0,0.9945,3.49,0.44,10.5,4
7.2,0.5,0.0,0.8,0.034,46.0,114.0,0.9932,3.19,0.34,9.2,4
10.0,0.91,0.42,1.6,0.056,34.0,181.0,0.9968,3.11,0.46,10.0,4
7.6,0.26,0.36,1.6,0.032,6.0,106.0,0.993,3.15,0.4,10.4,4
7.1,0.49,0.22,2.0,0.047,146.5,307.5,0.9924,3.24,0.37,11.0,4
9.9,1.005,0.46,1.4,0.046,34.0,185.0,0.9966,3.02,0.49,10.2,4
6.4,0.43,0.27,1.1,0.054,5.0,110.0,0.9939,3.24,0.52,9.1,4
11.8,0.23,0.38,11.1,0.034,15.0,123.0,0.9997,2.93,0.55,9.7,4
7.4,0.45,0.32,7.1,0.044,17.0,117.0,0.9962,3.32,0.41,10.4,4
6.8,0.2,0.27,1.2,0.034,19.0,68.0,0.9902,3.14,0.37,11.7,4
8.0,0.16,0.36,1.5,0.033,14.0,122.0,0.9941,3.2,0.39,10.3,4
9.8,0.93,0.45,8.6,0.052,34.0,187.0,0.9994,3.12,0.59,10.2,4
7.9,0.28,0.32,3.6,0.038,9.0,76.0,0.992,3.05,0.31,11.7,4
6.3,0.24,0.37,1.8,0.031,6.0,61.0,0.9897,3.3,0.34,12.2,4
7.6,0.23,0.26,15.3,0.067,32.0,166.0,0.9986,3.03,0.44,9.2,4
6.4,0.34,0.2,14.9,0.06,37.0,162.0,0.9983,3.13,0.45,9.0,4
6.4,0.34,0.2,14.9,0.06,37.0,162.0,0.9983,3.13,0.45,9.0,4
7.5,0.29,0.26,14.95,0.067,47.0,178.0,0.99838,3.04,0.49,9.2,4
7.5,0.26,0.59,11.8,0.046,58.0,164.0,0.99814,3.17,0.46,8.9,4
6.5,0.28,0.35,9.8,0.067,61.0,180.0,0.9972,3.15,0.57,9.0,4
7.7,0.28,0.63,11.1,0.039,58.0,179.0,0.9979,3.08,0.44,8.8,4
6.0,0.33,0.18,3.0,0.036,5.0,85.0,0.99125,3.28,0.4,11.5,4
7.6,0.48,0.37,1.2,0.034,5.0,57.0,0.99256,3.05,0.54,10.4,4
6.4,0.27,0.19,2.0,0.084,21.0,191.0,0.99516,3.49,0.63,9.6,4
6.4,0.27,0.19,1.9,0.085,21.0,196.0,0.99516,3.49,0.64,9.5,4
6.9,0.3,0.29,1.3,0.053,24.0,189.0,0.99362,3.29,0.54,9.9,4
6.9,0.3,0.3,1.3,0.053,24.0,186.0,0.99361,3.29,0.54,9.9,4
7.6,0.21,0.35,1.2,0.041,7.0,106.0,0.9914,3.06,0.45,11.3,4
9.2,0.19,0.42,2.0,0.047,16.0,104.0,0.99517,3.09,0.66,10.0,4
9.2,0.16,0.49,2.0,0.044,18.0,107.0,0.99514,3.1,0.53,10.2,4
7.1,0.21,0.28,2.7,0.034,23.0,111.0,0.99405,3.35,0.64,10.2,4
6.3,0.38,0.17,8.8,0.08,50.0,212.0,0.99803,3.47,0.66,9.4,4
7.1,0.21,0.28,2.7,0.034,23.0,111.0,0.99405,3.35,0.64,10.2,4
6.2,0.38,0.18,7.4,0.095,28.0,195.0,0.99773,3.53,0.71,9.2,4
6.4,0.35,0.35,5.6,0.034,9.0,148.0,0.99441,3.17,0.5,9.8,4
7.6,0.31,0.23,12.7,0.054,20.0,139.0,0.99836,3.16,0.5,9.7,4
7.6,0.31,0.23,12.7,0.054,20.0,139.0,0.99836,3.16,0.5,9.7,4
8.6,0.34,0.36,1.4,0.045,11.0,119.0,0.99556,3.17,0.47,9.4,4
8.6,0.34,0.36,1.4,0.045,11.0,119.0,0.99556,3.17,0.47,9.4,4
6.7,0.54,0.27,7.1,0.049,8.0,178.0,0.99502,3.16,0.38,9.4,4
6.7,0.54,0.27,7.1,0.049,8.0,178.0,0.99502,3.16,0.38,9.4,4
7.2,0.615,0.1,1.4,0.068,25.0,154.0,0.99499,3.2,0.48,9.7,4
7.1,0.23,0.24,5.4,0.039,60.0,196.0,0.9948,3.19,0.78,10.0,4
6.0,0.11,0.47,10.6,0.052,69.0,148.0,0.9958,2.91,0.34,9.3,4
8.5,0.22,0.34,0.7,0.04,5.0,25.0,0.9918,3.04,0.37,10.5,4
7.4,0.28,0.4,11.9,0.032,13.0,92.0,0.99629,3.01,0.46,10.8,4
7.1,0.27,0.28,1.25,0.023,3.0,89.0,0.98993,2.95,0.3,11.4,4
6.8,0.27,0.29,4.6,0.046,6.0,88.0,0.99458,3.34,0.48,10.6,4
6.2,0.255,0.24,1.7,0.039,138.5,272.0,0.99452,3.53,0.53,9.6,4
7.3,0.28,0.42,1.2,0.033,29.0,142.0,0.99205,3.17,0.43,10.7,4
6.1,0.2,0.34,9.5,0.041,38.0,201.0,0.995,3.14,0.44,10.1,4
6.9,0.3,0.36,4.5,0.054,31.0,203.0,0.99513,3.4,0.57,10.4,4
8.5,0.2,0.4,1.1,0.046,31.0,106.0,0.99194,3.0,0.35,10.5,4
8.7,0.3,0.59,1.7,0.046,10.0,70.0,0.99373,3.06,0.56,10.8,4
6.5,0.29,0.25,2.5,0.142,8.0,111.0,0.9927,3.0,0.44,9.9,4
4.2,0.215,0.23,5.1,0.041,64.0,157.0,0.99688,3.42,0.44,8.0,4
6.5,0.48,0.02,0.9,0.043,32.0,99.0,0.99226,3.14,0.47,9.8,4
9.4,0.24,0.29,8.5,0.037,124.0,208.0,0.99395,2.9,0.38,11.0,4
6.2,0.23,0.35,0.7,0.051,24.0,111.0,0.9916,3.37,0.43,11.0,4
6.7,0.64,0.3,1.2,0.03,18.0,76.0,0.9892,3.16,0.6,12.9,4
6.9,0.75,0.13,6.3,0.036,19.0,50.0,0.99312,3.09,0.25,11.1,4
7.5,0.34,0.24,3.85,0.031,5.0,34.0,0.99098,3.01,0.36,11.8,4
5.9,0.655,0.0,5.6,0.033,8.0,31.0,0.9936,3.32,0.51,10.5,4
6.7,0.22,0.22,1.2,0.038,5.0,124.0,0.99098,3.1,0.37,11.2,4
6.9,0.19,0.6,4.0,0.037,6.0,122.0,0.99255,2.92,0.59,10.4,4
6.1,0.6,0.12,1.8,0.05,11.0,76.0,0.99268,3.42,0.48,10.4,4
8.5,0.18,0.3,1.1,0.028,34.0,95.0,0.99272,2.83,0.36,10.0,4
6.5,0.32,0.48,8.0,0.026,18.0,88.0,0.99144,3.22,0.79,12.7,4
7.4,0.27,0.31,2.4,0.014,15.0,143.0,0.99094,3.03,0.65,12.0,4
6.8,0.26,0.34,15.1,0.06,42.0,162.0,0.99705,3.24,0.52,10.5,4
7.3,0.36,0.54,13.3,0.054,63.0,193.0,0.99864,3.06,0.49,8.6,4
6.8,0.73,0.2,6.6,0.054,25.0,65.0,0.99324,3.12,0.28,11.1,4
4.8,0.65,0.12,1.1,0.013,4.0,10.0,0.99246,3.32,0.36,13.5,4
8.7,0.31,0.21,5.6,0.039,28.0,67.0,0.99328,2.96,0.52,11.0,4
7.3,0.38,0.23,6.5,0.05,18.0,102.0,0.99304,3.1,0.55,11.2,4
6.3,0.27,0.51,7.6,0.049,35.0,200.0,0.99548,3.16,0.54,9.4,4
6.3,0.27,0.51,7.6,0.049,35.0,200.0,0.99548,3.16,0.54,9.4,4
6.4,0.37,0.12,5.9,0.056,6.0,91.0,0.99536,3.06,0.46,8.4,4
6.1,1.1,0.16,4.4,0.033,8.0,109.0,0.99058,3.35,0.47,12.4,4
6.6,0.35,0.19,10.5,0.06,15.0,82.0,0.99588,3.13,0.38,9.9,4
6.6,0.31,0.37,6.2,0.052,13.0,164.0,0.99602,3.24,0.39,8.8,4
6.5,0.38,0.53,1.4,0.142,5.0,69.0,0.9926,3.14,0.52,10.1,4
6.1,0.38,0.14,3.9,0.06,27.0,113.0,0.99344,3.07,0.34,9.2,4
6.1,0.38,0.14,3.9,0.06,27.0,113.0,0.99344,3.07,0.34,9.2,4
5.3,0.43,0.11,1.1,0.029,6.0,51.0,0.99076,3.51,0.48,11.2,4
5.3,0.47,0.1,1.3,0.036,11.0,74.0,0.99082,3.48,0.54,11.2,4
5.6,0.18,0.29,2.3,0.04,5.0,47.0,0.99126,3.07,0.45,10.1,4
6.3,0.28,0.22,9.5,0.04,30.0,111.0,0.99338,3.05,0.31,10.8,4
5.8,0.28,0.18,1.2,0.058,7.0,108.0,0.99288,3.23,0.58,9.55,4
5.8,0.26,0.3,2.6,0.034,75.0,129.0,0.9902,3.2,0.38,11.5,4
6.0,0.615,0.04,0.8,0.032,8.0,50.0,0.99036,3.14,0.4,11.0,4
6.8,0.63,0.04,1.3,0.058,25.0,133.0,0.99271,3.17,0.39,10.2,4
6.8,0.63,0.04,1.3,0.058,25.0,133.0,0.99271,3.17,0.39,10.2,4
6.1,0.26,0.25,2.9,0.047,289.0,440.0,0.99314,3.44,0.64,10.5,4
7.1,0.24,0.34,1.2,0.045,6.0,132.0,0.99132,3.16,0.46,11.2,4
6.0,0.59,0.0,0.8,0.037,30.0,95.0,0.99032,3.1,0.4,10.9,4
6.0,0.35,0.46,0.9,0.033,9.0,65.0,0.98934,3.24,0.35,12.1,4
5.2,0.405,0.15,1.45,0.038,10.0,44.0,0.99125,3.52,0.4,11.6,4
6.2,0.53,0.02,0.9,0.035,6.0,81.0,0.99234,3.24,0.35,9.5,4
6.549285693590084,0.27901428612819834,0.3618285664616201,9.89857138718017,0.06596500043460825,60.85214291922975,179.21142890255865,0.9972463285519747,3.1509857138718016,0.5645785737050908,8.995071430640992,4
7.2418899052321075,0.3367559620928431,0.25659846999016744,1.2596850157946486,0.041162201895357846,7.3874006317859475,59.984250789732435,0.993419464227443,3.2469605521223404,0.49822048894374593,10.220944952616055,4
8.540015050509197,0.3220045151527595,0.36,1.4099974915818,0.043800301010183965,11.299924747454009,119.29992474745401,0.9954140366229057,3.17299924747454,0.46200200673455977,9.489977424236203,4
6.638215981210866,0.5064571548147156,0.18567664659446945,1.3595539953027165,0.04883122032880985,7.8033450352296265,107.20223002348642,0.9930601115011743,3.1259553995302714,0.36994424941283954,9.378104480036544,4
6.508233797718321,0.31855908539929384,0.47505972136900737,7.909428225098469,0.026638119323169875,17.897077528520988,87.93824651711259,0.9914968132042564,3.215265566311966,0.7836188067683013,12.634129618253432,4
6.4212102475433,0.5195539605326776,0.04703680803306992,1.4898939934487991,0.03518434187295275,5.8771054180315,81.1228945819685,0.9925403181686087,3.2184934481555127,0.3469276354507875,9.53686837459055,4
7.253276392117253,0.2928383156897404,0.3614850529307789,11.643233686205193,0.03713532627589615,13.366809019706867,90.16595490146567,0.9962148041509601,3.032008541182412,0.4453276392117253,10.63493594113191,4
7.202361513049481,0.33384714757652495,0.2804723026098962,3.133748449666287,0.030863890037284233,8.272219925431537,103.72778007456846,0.993,3.0647917527963173,0.6669858412382056,11.081665977629461,4
8.910517684222096,0.320592644736119,0.4337479500027479,1.7105176842220964,0.046940735526388104,13.328882631665724,119.0,0.9958084141473776,3.1505926447361188,0.5553923631610764,9.749332394749858,4
8.61076876406096,0.30446156179695194,0.5771402042323149,1.6895022075365835,0.04573755518841459,10.02624448115854,70.10497792463417,0.9936536285598286,3.0710226820865874,0.5594751103768293,10.810497792463417,4
6.603170181661042,0.32940304069862697,0.35705228052397026,1.9326473764213397,0.037382461991267164,5.294771947602976,75.38246199126716,0.9910119391860275,3.1920337420085523,0.3285261402619851,11.514738597380148,4
9.088519009472005,0.2967221485791992,0.4709553307848009,11.702454133288006,0.04292900825439996,28.860648761840007,137.2322520636,0.997962839669824,3.1125416114343993,0.34557404952639975,10.044259504736003,4
7.983652019682234,0.26955491771664974,0.5441597606302537,1.814350972439594,0.0571534947637868,13.044508228335026,151.0,0.994208901645667,3.062524962598477,0.5095549177166497,9.39009985039391,4
9.759541228979398,0.91034859693285,0.4459541228979397,8.19541228979397,0.05280917542041206,34.0,186.71100877842426,0.9992497245647806,3.1263578068746662,0.577862368693819,10.101742984664249,4
6.03124990152395,0.313229135482584,0.37447919456821427,2.5750003939042014,0.0386354125634979,5.0,109.38541650253991,0.9923020829066037,3.418229214263424,0.46468748522859243,10.697917093396217,4
9.207318523133553,0.8422198529363849,0.42305698790045615,1.376910617437785,0.04761625677935504,31.691061743778512,185.23089382562216,0.9959096274613898,3.0823413329179803,0.5015446912811075,10.130731852313355,4
11.336254707589841,0.2214573235608655,0.3775592353031044,9.928432945490123,0.03387796176515522,14.877961765155222,122.87796176515522,0.9990165858848693,2.9629503234080903,0.5304738824248354,9.773222940906868,4
6.772796120623634,0.42549126433260515,0.3618388361870904,5.408310632932141,0.047,46.725436783369744,201.81611638129095,0.994017631035011,3.080906795979212,0.640025244228666,10.35491264332605,4
6.798756685306195,0.2837477715646018,0.2231261142176991,5.9285962379575246,0.058012433146938054,13.674955431292036,83.98756685306195,0.9947669625622853,3.0372468801904424,0.4462522284353982,9.634991086258408,4
7.642738754284032,0.3429689901654003,0.3010439082104024,6.242247541350064,0.03686459934436002,4.567700327819992,84.13540065563998,0.993130503573983,3.1114031278497967,0.35677003278199915,10.894780458947988,4
6.780393386608375,0.4816725520114762,0.13205900799125625,4.63706973339709,0.03189950826673953,6.349262400109297,32.650737599890704,0.9921583558294288,3.1494237813446273,0.4274631200054648,11.215319626619305,4
5.831659102237376,0.2422613644455269,0.43140681510699774,3.454772711089462,0.0341106836468908,5.135681866731614,109.09045457782108,0.9913633182044748,3.506029536877415,0.43045227288910537,11.618590879961031,4
7.378116336496829,0.3394338644844741,0.20558517944347252,3.026783261540565,0.0523320637381369,9.36227490670785,89.16603186906845,0.9948953947401641,3.1700380878558936,0.40498095607205337,9.07245498134157,4
8.290852564460465,0.38116704539109914,0.34214516319293875,2.1107258159646936,0.052760253496991545,20.89274184035306,155.13248834336153,0.9949520506993983,3.1722396269875683,0.5178548368070612,9.837223484636997,4
6.685907577502523,0.5075874282558046,0.2840924224974763,6.973168197522713,0.04942277267492429,8.704621124873814,176.02706085035334,0.9951609242249748,3.1712739379979813,0.38140924224974765,9.315445465015143,4
5.97892154483145,0.3525449356320229,0.38447303862078624,0.9298202574719083,0.03767095579311794,3.2982025747190833,74.55269613792137,0.9906982025747191,3.269562909884832,0.36087418023033585,11.310539227584275,4
6.277224476929666,0.3991102092281337,0.29693880767583564,6.786122384648329,0.06353387446311978,9.683265692110027,116.54448953859331,0.9946782859844769,3.177330627684401,0.4001061507547353,9.926693723155989,4
6.7409260767289565,0.28011575959111945,0.35602315191822387,5.494212020444026,0.051415048746845535,32.39189682862164,202.60231519182238,0.9951041504874685,3.348300974936911,0.5441504874684553,10.34034727877336,4
6.2678595675750355,0.22098244594687944,0.3441964891893759,8.450877702656028,0.04372771797309433,36.53122878371844,201.41964891893758,0.9950272771797309,3.1945543594618866,0.46727717973094324,10.162947337840638,4
6.469507979419298,0.38631504392566746,0.24884389457839812,6.49465483182342,0.06723122108432038,9.147398242973303,117.1473982429733,0.9943002308052218,3.151473982429733,0.3588438945783981,10.14104070281068,4
7.490482740700474,0.5108017291779914,0.3535724111050712,1.4737931482488131,0.03591655203774169,5.684482870622032,57.0,0.993030924214988,3.092437937978566,0.5372620685175119,10.276793083288034,4
8.204383555265231,0.3136012172662086,0.38742161229567873,1.0992694074557947,0.03930898024852649,12.345509875736754,57.98538814911589,0.9926617960497053,3.0989771704381126,0.3763257234793709,10.36764079005894,4
6.6433544394957424,0.5666086487254967,0.1886708878991485,5.2,0.05394409267507096,15.811181464985808,98.89275675163356,0.9951270393821662,3.342144864967329,0.3843354439495742,9.45966949682529,4
6.8928703980933905,0.3473492111017242,0.5015357249788793,10.361243425847702,0.052407670927959775,66.05119083262932,185.05119083262932,0.9974244973703391,3.110712960190661,0.5251005259321839,8.77550262966092,4
7.312942058340277,0.2563136446521413,0.24564710291701386,15.204314019446759,0.06532549534031828,33.196074756915515,165.04314019446758,0.9985282355145851,3.0539214951383102,0.44239214951383105,9.152157009723378,4
8.249987775359614,0.32363725270111904,0.462501833696058,9.702285507578587,0.03909093131752798,95.77242721337232,198.06807624174212,0.9958579748272443,2.994091909288759,0.43750061123201933,9.745441209483214,4
5.817793388720866,0.3605083825348819,0.38381286901161427,0.9127095633720476,0.03966900830812999,3.05083825348819,74.84748523953543,0.9904559220788369,3.2764413222558266,0.34457544281393715,11.366955135232677,4
7.22574239243053,0.2651484784861061,0.30856440189236733,2.26881033565951,0.04751484784861061,6.628711962152654,132.62871196215266,0.9927283147952219,3.1537128803784737,0.4725742392430531,10.539852439739713,4
9.981513294785218,0.9118486705214782,0.4227730057822172,2.2470346825173486,0.05563026589570437,34.0,181.55460115644345,0.9970403271677921,3.110924335260739,0.4720163583896079,10.018486705214782,4
8.392031781739666,0.260976163695251,0.3647809309562008,1.1269920545650836,0.030699205456508366,25.36254253917323,95.53984109130167,0.9918454574320913,3.029741203781619,0.3384063563479331,11.295618619124015,4
6.9057146429442025,0.3154295359493451,0.2885707141115962,1.7000250060941324,0.05534300360712278,23.942853570557983,186.11429285888403,0.9938151556816969,3.2962861072386223,0.5359997499390587,9.859997499390587,4
6.408435479911912,0.31883441071364726,0.28156452008808863,4.87147314731265,0.0456947849330397,7.831290401761772,114.3052150669603,0.9957441720535682,3.2561043013392057,0.417147314731265,8.722086026784117,4
8.423320525147863,0.25878229759331034,0.2411660262573931,5.832913741749932,0.0373756459518662,123.4365310722007,217.95461772445447,0.9932926195842341,2.9939114879665514,0.4138081356679586,10.624354048133792,4
6.289450574016973,0.3942197703932108,0.26637356495756764,6.847252870084865,0.06646813776407351,9.316482779490812,116.78901148033945,0.9944215379456436,3.1626593111796324,0.3732087371626595,10.073406888203674,4
7.0621285246602,0.37082296177022844,0.2823266448414268,4.927813061051863,0.038873761748867336,109.28435354838157,234.17233934417476,0.9938819913665696,3.099758699440128,0.5158724918155351,9.8689357376699,4
7.3945304348836505,0.3354083029407383,0.23161789621905066,1.0662172510502637,0.03102696493698418,4.648690042010548,53.70261991597891,0.9907870261991598,3.1046070126031644,0.3718952033608438,11.335130995798945,4
11.291194440045018,0.2967807297440914,0.5390017374859319,9.541782972637867,0.03877005212457796,16.59001737485932,123.31800347497186,0.9987777899225816,2.949080208498312,0.5372798610011255,9.763600694994372,4
7.204619758917275,0.4143070361624087,0.22989267950796843,1.1533830843789534,0.044533830843789535,5.0,25.647690120541363,0.9927067661687579,3.1824918265190996,0.3376154939729319,10.176154939729319,4
7.811541313800501,0.4404504768436426,0.25467981994339184,8.962770122857808,0.05153201800566082,18.942293430997495,138.64743114366584,0.9971753686427172,3.18115413138005,0.5740394598301755,10.087825741967587,4
6.376563106612435,0.39108252429152474,0.15026796113356042,1.541741100314878,0.0512254368960903,7.165177993702442,104.25223300944634,0.9935825889968513,3.429642718488586,0.4,9.992187702204145,4
6.767811514267156,0.3004107706133054,0.37,6.6075422489345215,0.05223973073466737,14.198653673336828,163.4006731633316,0.996251340158954,3.249589229386695,0.3995892293866946,8.919865367333683,4
7.0110464504456615,0.24444767747771695,0.30726479164560394,9.273757947585471,0.042585623456166045,27.737579475854712,110.03039120393774,0.9938066278702674,2.9950555015564713,0.31969608796062265,10.703039120393774,4
8.30580616708525,0.6675064888122735,0.3692327657883918,10.336495535549576,0.05280767234211608,34.0,187.8076723421161,0.9987942457434129,3.1724987022375455,0.5253862126307134,9.71539659473035,4
6.274608458606566,0.4001566165573738,0.30347885348358616,6.7730422930328285,0.06290603006557573,9.761746241803035,116.49216917213131,0.9947332223692621,3.180469849672121,0.4058613910655558,9.895301503278786,4
6.184908235969777,0.2527362353954665,0.4438222356826217,6.736811769773325,0.05015091764030223,36.43864705037779,199.71227058992443,0.9957447110572695,3.3211284696423125,0.5860367056120893,9.572637646045335,4
6.4,0.34,0.2,14.9,0.06,37.0,162.0,0.9983,3.13,0.45,9.0,4
